claim_id,step,event_id,task_id,group_kind,claim_group_id,agent_id,receiver,claim_type,subject,object,label,confidence,validation_passed,conflict,created_at
C_00064,64,M_00064,T_0007,action,G_T_0007_action_malicious,A_N_015,A_N_016,action_recommendation,10.21.49.101,block_ip,malicious,0.832,1,1,2026-06-28T09:40:59+08:00
C_00065,65,M_00065,T_0007,risk,G_T_0007_risk_benign,A_POISON_002,A_N_016,risk_judgment,10.21.49.101,benign_service,benign,0.851,1,1,2026-06-28T09:40:59+08:00
C_00066,66,M_00066,T_0007,risk,G_T_0007_risk_benign,A_POISON_003,A_N_015,risk_judgment,10.21.49.101,benign_service,benign,0.877,1,1,2026-06-28T09:40:59+08:00
C_00067,67,M_00067,T_0007,risk,G_T_0007_risk_benign,A_BYZ_003,A_N_016,risk_judgment,10.21.49.101,benign_service,benign,0.955,1,1,2026-06-28T09:40:59+08:00
C_00068,68,M_00068,T_0007,action,G_T_0007_action_benign,A_BYZ_008,A_N_016,action_recommendation,10.21.49.101,do_not_block,benign,0.864,0,1,2026-06-28T09:40:59+08:00
C_00069,69,M_00069,T_0007,risk,G_T_0007_risk_benign,A_COMM_004,A_N_016,risk_judgment,10.21.49.101,benign_service,benign,0.767,1,1,2026-06-28T09:40:59+08:00
C_00070,70,M_00070,T_0007,risk,G_T_0007_risk_benign,A_WATCH_004,A_N_016,risk_judgment,10.21.49.101,benign_service,benign,0.729,1,1,2026-06-28T09:41:00+08:00
C_00071,71,M_00071,T_0008,risk,G_T_0008_risk_benign,A_N_013,A_N_022,risk_judgment,10.24.56.114,benign_service,benign,0.878,1,1,2026-06-28T09:41:00+08:00
C_00072,72,M_00072,T_0008,risk,G_T_0008_risk_benign,A_N_014,A_N_022,risk_judgment,10.24.56.114,benign_service,benign,0.808,1,1,2026-06-28T09:41:00+08:00
C_00073,73,M_00073,T_0008,risk,G_T_0008_risk_benign,A_N_022,A_N_021,verification,10.24.56.114,benign_service,benign,0.905,1,1,2026-06-28T09:41:00+08:00
C_00074,74,M_00074,T_0008,action,G_T_0008_action_benign,A_N_021,A_N_022,action_recommendation,10.24.56.114,do_not_block,benign,0.762,1,1,2026-06-28T09:41:00+08:00
C_00075,75,M_00075,T_0008,risk,G_T_0008_risk_malicious,A_POISON_004,A_N_022,risk_judgment,10.24.56.114,C2,malicious,0.861,1,1,2026-06-28T09:41:00+08:00
C_00076,76,M_00076,T_0008,risk,G_T_0008_risk_malicious,A_POISON_004,A_N_021,risk_judgment,10.24.56.114,C2,malicious,0.876,1,1,2026-06-28T09:41:00+08:00
C_00077,77,M_00077,T_0008,risk,G_T_0008_risk_malicious,A_BYZ_007,A_N_022,risk_judgment,10.24.56.114,C2,malicious,0.915,0,1,2026-06-28T09:41:00+08:00
C_00078,78,M_00078,T_0008,action,G_T_0008_action_malicious,A_BYZ_002,A_N_022,action_recommendation,10.24.56.114,block_ip,malicious,0.862,1,1,2026-06-28T09:41:00+08:00
C_00079,79,M_00079,T_0008,risk,G_T_0008_risk_malicious,A_COMM_001,A_N_022,risk_judgment,10.24.56.114,C2,malicious,0.808,0,1,2026-06-28T09:41:01+08:00
C_00080,80,M_00080,T_0008,risk,G_T_0008_risk_benign,A_WATCH_001,A_N_022,risk_judgment,10.24.56.114,benign_service,benign,0.64,1,1,2026-06-28T09:41:01+08:00
C_00081,81,M_00081,T_0009,risk,G_T_0009_risk_benign,A_N_019,A_N_028,risk_judgment,10.27.63.127,benign_service,benign,0.937,1,1,2026-06-28T09:41:01+08:00
C_00082,82,M_00082,T_0009,risk,G_T_0009_risk_benign,A_N_020,A_N_028,risk_judgment,10.27.63.127,benign_service,benign,0.876,1,1,2026-06-28T09:41:01+08:00
C_00083,83,M_00083,T_0009,risk,G_T_0009_risk_benign,A_N_028,A_N_027,verification,10.27.63.127,benign_service,benign,0.852,1,1,2026-06-28T09:41:01+08:00
C_00084,84,M_00084,T_0009,action,G_T_0009_action_benign,A_N_027,A_N_028,action_recommendation,10.27.63.127,do_not_block,benign,0.804,1,1,2026-06-28T09:41:01+08:00
C_00085,85,M_00085,T_0009,risk,G_T_0009_risk_malicious,A_POISON_001,A_N_028,risk_judgment,10.27.63.127,C2,malicious,0.889,1,1,2026-06-28T09:41:01+08:00
C_00086,86,M_00086,T_0009,risk,G_T_0009_risk_malicious,A_POISON_005,A_N_027,risk_judgment,10.27.63.127,C2,malicious,0.817,1,1,2026-06-28T09:41:01+08:00
C_00087,87,M_00087,T_0009,risk,G_T_0009_risk_malicious,A_BYZ_001,A_N_028,risk_judgment,10.27.63.127,C2,malicious,0.922,0,1,2026-06-28T09:41:01+08:00
C_00088,88,M_00088,T_0009,action,G_T_0009_action_malicious,A_BYZ_004,A_N_028,action_recommendation,10.27.63.127,block_ip,malicious,0.939,0,1,2026-06-28T09:41:02+08:00
C_00089,89,M_00089,T_0009,risk,G_T_0009_risk_malicious,A_COMM_002,A_N_028,risk_judgment,10.27.63.127,C2,malicious,0.874,1,1,2026-06-28T09:41:02+08:00
C_00090,90,M_00090,T_0009,risk,G_T_0009_risk_malicious,A_WATCH_002,A_N_028,risk_judgment,10.27.63.127,C2,malicious,0.659,1,1,2026-06-28T09:41:02+08:00
C_00091,91,M_00091,T_0010,risk,G_T_0010_risk_malicious,A_N_025,A_N_004,risk_judgment,10.30.70.140,C2,malicious,0.85,1,1,2026-06-28T09:41:02+08:00
C_00092,92,M_00092,T_0010,risk,G_T_0010_risk_malicious,A_N_026,A_N_004,risk_judgment,10.30.70.140,C2,malicious,0.883,1,1,2026-06-28T09:41:02+08:00
C_00093,93,M_00093,T_0010,risk,G_T_0010_risk_malicious,A_N_004,A_N_003,verification,10.30.70.140,C2,malicious,0.845,1,1,2026-06-28T09:41:02+08:00
C_00094,94,M_00094,T_0010,action,G_T_0010_action_malicious,A_N_003,A_N_004,action_recommendation,10.30.70.140,block_ip,malicious,0.85,1,1,2026-06-28T09:41:02+08:00
C_00095,95,M_00095,T_0010,risk,G_T_0010_risk_benign,A_POISON_002,A_N_004,risk_judgment,10.30.70.140,benign_service,benign,0.844,1,1,2026-06-28T09:41:02+08:00
C_00096,96,M_00096,T_0010,risk,G_T_0010_risk_benign,A_POISON_006,A_N_003,risk_judgment,10.30.70.140,benign_service,benign,0.833,1,1,2026-06-28T09:41:02+08:00
C_00097,97,M_00097,T_0010,risk,G_T_0010_risk_benign,A_BYZ_003,A_N_004,risk_judgment,10.30.70.140,benign_service,benign,0.922,0,1,2026-06-28T09:41:03+08:00
C_00098,98,M_00098,T_0010,action,G_T_0010_action_benign,A_BYZ_008,A_N_004,action_recommendation,10.30.70.140,do_not_block,benign,0.916,0,1,2026-06-28T09:41:03+08:00
C_00099,99,M_00099,T_0010,risk,G_T_0010_risk_benign,A_COMM_003,A_N_004,risk_judgment,10.30.70.140,benign_service,benign,0.793,0,1,2026-06-28T09:41:03+08:00
C_00100,100,M_00100,T_0010,risk,G_T_0010_risk_malicious,A_WATCH_003,A_N_004,risk_judgment,10.30.70.140,C2,malicious,0.696,1,1,2026-06-28T09:41:03+08:00
C_00101,101,M_00101,T_0011,risk,G_T_0011_risk_benign,A_N_031,A_N_010,risk_judgment,10.33.77.153,benign_service,benign,0.878,1,1,2026-06-28T09:41:03+08:00
C_00102,102,M_00102,T_0011,risk,G_T_0011_risk_benign,A_N_032,A_N_010,risk_judgment,10.33.77.153,benign_service,benign,0.805,1,1,2026-06-28T09:41:03+08:00
C_00103,103,M_00103,T_0011,risk,G_T_0011_risk_benign,A_N_010,A_N_009,verification,10.33.77.153,benign_service,benign,0.902,1,1,2026-06-28T09:41:03+08:00
C_00104,104,M_00104,T_0011,action,G_T_0011_action_benign,A_N_009,A_N_010,action_recommendation,10.33.77.153,do_not_block,benign,0.808,1,1,2026-06-28T09:41:03+08:00
C_00105,105,M_00105,T_0011,risk,G_T_0011_risk_malicious,A_POISON_004,A_N_010,risk_judgment,10.33.77.153,C2,malicious,0.909,1,1,2026-06-28T09:41:03+08:00
C_00106,106,M_00106,T_0011,risk,G_T_0011_risk_malicious,A_POISON_001,A_N_009,risk_judgment,10.33.77.153,C2,malicious,0.829,1,1,2026-06-28T09:43:30+08:00
C_00107,107,M_00107,T_0011,risk,G_T_0011_risk_malicious,A_BYZ_007,A_N_010,risk_judgment,10.33.77.153,C2,malicious,0.967,1,1,2026-06-28T09:43:30+08:00
C_00108,108,M_00108,T_0011,action,G_T_0011_action_malicious,A_BYZ_002,A_N_010,action_recommendation,10.33.77.153,block_ip,malicious,0.868,0,1,2026-06-28T09:43:30+08:00
C_00109,109,M_00109,T_0011,risk,G_T_0011_risk_malicious,A_COMM_004,A_N_010,risk_judgment,10.33.77.153,C2,malicious,0.788,1,1,2026-06-28T09:43:30+08:00
C_00110,110,M_00110,T_0011,risk,G_T_0011_risk_malicious,A_WATCH_004,A_N_010,risk_judgment,10.33.77.153,C2,malicious,0.726,1,1,2026-06-28T09:43:30+08:00
C_00111,111,M_00111,T_0012,risk,G_T_0012_risk_malicious,A_N_001,A_N_016,risk_judgment,10.36.84.166,C2,malicious,0.854,1,1,2026-06-28T09:43:30+08:00
C_00112,112,M_00112,T_0012,risk,G_T_0012_risk_malicious,A_N_002,A_N_016,risk_judgment,10.36.84.166,C2,malicious,0.893,1,1,2026-06-28T09:43:31+08:00
C_00113,113,M_00113,T_0012,risk,G_T_0012_risk_malicious,A_N_016,A_N_015,verification,10.36.84.166,C2,malicious,0.855,1,1,2026-06-28T09:43:31+08:00
C_00114,114,M_00114,T_0012,action,G_T_0012_action_malicious,A_N_015,A_N_016,action_recommendation,10.36.84.166,block_ip,malicious,0.779,1,1,2026-06-28T09:43:31+08:00
C_00115,115,M_00115,T_0012,risk,G_T_0012_risk_benign,A_POISON_001,A_N_016,risk_judgment,10.36.84.166,benign_service,benign,0.833,1,1,2026-06-28T09:43:31+08:00
C_00116,116,M_00116,T_0012,risk,G_T_0012_risk_benign,A_POISON_002,A_N_015,risk_judgment,10.36.84.166,benign_service,benign,0.831,1,1,2026-06-28T09:43:31+08:00
C_00117,117,M_00117,T_0012,risk,G_T_0012_risk_benign,A_BYZ_001,A_N_016,risk_judgment,10.36.84.166,benign_service,benign,0.912,0,1,2026-06-28T09:43:31+08:00
C_00118,118,M_00118,T_0012,action,G_T_0012_action_benign,A_BYZ_004,A_N_016,action_recommendation,10.36.84.166,do_not_block,benign,0.954,1,1,2026-06-28T09:43:31+08:00
C_00119,119,M_00119,T_0012,risk,G_T_0012_risk_benign,A_COMM_001,A_N_016,risk_judgment,10.36.84.166,benign_service,benign,0.816,0,1,2026-06-28T09:43:31+08:00
C_00120,120,M_00120,T_0012,risk,G_T_0012_risk_malicious,A_WATCH_001,A_N_016,risk_judgment,10.36.84.166,C2,malicious,0.727,1,1,2026-06-28T09:43:31+08:00
C_00121,121,M_00121,T_0013,risk,G_T_0013_risk_benign,A_N_007,A_N_022,risk_judgment,10.39.91.179,benign_service,benign,0.922,1,1,2026-06-28T09:43:32+08:00
C_00122,122,M_00122,T_0013,risk,G_T_0013_risk_benign,A_N_008,A_N_022,risk_judgment,10.39.91.179,benign_service,benign,0.836,1,1,2026-06-28T09:43:32+08:00
C_00123,123,M_00123,T_0013,risk,G_T_0013_risk_benign,A_N_022,A_N_021,verification,10.39.91.179,benign_service,benign,0.899,1,1,2026-06-28T09:43:32+08:00
C_00124,124,M_00124,T_0013,action,G_T_0013_action_benign,A_N_021,A_N_022,action_recommendation,10.39.91.179,do_not_block,benign,0.831,1,1,2026-06-28T09:43:32+08:00
C_00125,125,M_00125,T_0013,risk,G_T_0013_risk_malicious,A_POISON_002,A_N_022,risk_judgment,10.39.91.179,C2,malicious,0.885,1,1,2026-06-28T09:43:32+08:00
C_00126,126,M_00126,T_0013,risk,G_T_0013_risk_malicious,A_POISON_003,A_N_021,risk_judgment,10.39.91.179,C2,malicious,0.782,1,1,2026-06-28T09:43:32+08:00
C_00127,127,M_00127,T_0013,risk,G_T_0013_risk_malicious,A_BYZ_003,A_N_022,risk_judgment,10.39.91.179,C2,malicious,0.929,1,1,2026-06-28T09:43:33+08:00
C_00128,128,M_00128,T_0013,action,G_T_0013_action_malicious,A_BYZ_008,A_N_022,action_recommendation,10.39.91.179,block_ip,malicious,0.923,0,1,2026-06-28T09:43:33+08:00
C_00129,129,M_00129,T_0013,risk,G_T_0013_risk_malicious,A_COMM_002,A_N_022,risk_judgment,10.39.91.179,C2,malicious,0.756,1,1,2026-06-28T09:43:33+08:00
C_00130,130,M_00130,T_0013,risk,G_T_0013_risk_malicious,A_WATCH_002,A_N_022,risk_judgment,10.39.91.179,C2,malicious,0.65,1,1,2026-06-28T09:43:33+08:00
C_00131,131,M_00131,T_0014,risk,G_T_0014_risk_benign,A_N_013,A_N_028,risk_judgment,10.42.98.192,benign_service,benign,0.876,1,1,2026-06-28T09:43:33+08:00
C_00132,132,M_00132,T_0014,risk,G_T_0014_risk_benign,A_N_014,A_N_028,risk_judgment,10.42.98.192,benign_service,benign,0.823,1,1,2026-06-28T09:43:33+08:00
C_00133,133,M_00133,T_0014,risk,G_T_0014_risk_benign,A_N_028,A_N_027,verification,10.42.98.192,benign_service,benign,0.948,1,1,2026-06-28T09:43:33+08:00
C_00134,134,M_00134,T_0014,action,G_T_0014_action_benign,A_N_027,A_N_028,action_recommendation,10.42.98.192,do_not_block,benign,0.748,1,1,2026-06-28T09:43:33+08:00
C_00135,135,M_00135,T_0014,risk,G_T_0014_risk_malicious,A_POISON_004,A_N_028,risk_judgment,10.42.98.192,C2,malicious,0.841,1,1,2026-06-28T09:43:33+08:00
C_00136,136,M_00136,T_0014,risk,G_T_0014_risk_malicious,A_POISON_004,A_N_027,risk_judgment,10.42.98.192,C2,malicious,0.811,1,1,2026-06-28T09:43:34+08:00
C_00137,137,M_00137,T_0014,risk,G_T_0014_risk_malicious,A_BYZ_007,A_N_028,risk_judgment,10.42.98.192,C2,malicious,0.882,0,1,2026-06-28T09:43:34+08:00
C_00138,138,M_00138,T_0014,action,G_T_0014_action_malicious,A_BYZ_002,A_N_028,action_recommendation,10.42.98.192,block_ip,malicious,0.935,0,1,2026-06-28T09:43:34+08:00
C_00139,139,M_00139,T_0014,risk,G_T_0014_risk_malicious,A_COMM_003,A_N_028,risk_judgment,10.42.98.192,C2,malicious,0.787,0,1,2026-06-28T09:43:34+08:00
C_00140,140,M_00140,T_0014,risk,G_T_0014_risk_benign,A_WATCH_003,A_N_028,risk_judgment,10.42.98.192,benign_service,benign,0.623,1,1,2026-06-28T09:43:34+08:00
C_00141,141,M_00141,T_0015,risk,G_T_0015_risk_malicious,A_N_019,A_N_004,risk_judgment,10.45.105.205,C2,malicious,0.862,1,1,2026-06-28T09:43:34+08:00
C_00142,142,M_00142,T_0015,risk,G_T_0015_risk_malicious,A_N_020,A_N_004,risk_judgment,10.45.105.205,C2,malicious,0.854,1,1,2026-06-28T09:43:34+08:00
C_00143,143,M_00143,T_0015,risk,G_T_0015_risk_malicious,A_N_004,A_N_003,verification,10.45.105.205,C2,malicious,0.881,1,1,2026-06-28T09:43:34+08:00
C_00144,144,M_00144,T_0015,action,G_T_0015_action_malicious,A_N_003,A_N_004,action_recommendation,10.45.105.205,block_ip,malicious,0.846,1,1,2026-06-28T09:43:34+08:00
C_00145,145,M_00145,T_0015,risk,G_T_0015_risk_benign,A_POISON_001,A_N_004,risk_judgment,10.45.105.205,benign_service,benign,0.907,1,1,2026-06-28T09:43:35+08:00
C_00146,146,M_00146,T_0015,risk,G_T_0015_risk_benign,A_POISON_005,A_N_003,risk_judgment,10.45.105.205,benign_service,benign,0.83,1,1,2026-06-28T09:43:35+08:00
C_00147,147,M_00147,T_0015,risk,G_T_0015_risk_benign,A_BYZ_001,A_N_004,risk_judgment,10.45.105.205,benign_service,benign,0.901,0,1,2026-06-28T09:43:35+08:00
