query_index,poison_ratio_after_poisoning,poison_ratio_after_correction,retrieval_shift_after_poisoning,retrieval_shift_after_correction,answer_deviation_after_poisoning,answer_deviation_after_correction,poisoned_overlap_count,corrected_overlap_count
63,0.0,0.0,0.0,0.0,1.3322676295501878e-15,1.3322676295501878e-15,8,8
64,0.0,0.0,0.0,0.0,0.0,0.0,8,8
65,0.0,0.0,0.0,0.0,0.0,0.0,8,8
66,0.0,0.0,0.0,0.0,0.0,0.0,8,8
67,0.0,0.0,0.0,0.0,0.0,0.0,8,8
68,0.0,0.0,0.0,0.0,0.0,0.0,8,8
69,0.0,0.0,0.0,0.0,0.0,0.0,8,8
70,0.0,0.0,0.0,0.0,0.0,0.0,8,8
71,0.0,0.0,0.0,0.0,0.0,0.0,8,8
72,0.0,0.0,0.0,0.0,2.220446049250313e-16,2.220446049250313e-16,8,8
73,0.0,0.0,0.0,0.0,4.440892098500626e-16,4.440892098500626e-16,8,8
74,0.0,0.0,0.0,0.0,3.3306690738754696e-16,3.3306690738754696e-16,8,8
75,0.0,0.0,0.0,0.0,0.0,0.0,8,8
76,0.0,0.0,0.0,0.0,1.2212453270876722e-15,1.2212453270876722e-15,8,8
77,0.0,0.0,0.0,0.0,0.0,0.0,8,8
78,0.0,0.0,0.0,0.0,0.0,0.0,8,8
79,0.0,0.0,0.0,0.0,0.0,0.0,8,8
80,0.0,0.0,0.0,0.0,2.220446049250313e-16,2.220446049250313e-16,8,8
81,0.0,0.0,0.0,0.0,0.0,0.0,8,8
82,0.0,0.0,0.0,0.0,9.992007221626409e-16,9.992007221626409e-16,8,8
83,0.0,0.0,0.0,0.0,0.0,0.0,8,8
84,0.0,0.0,0.0,0.0,0.0,0.0,8,8
85,0.0,0.0,0.0,0.0,0.0,0.0,8,8
86,0.0,0.0,0.0,0.0,0.0,0.0,8,8
87,0.0,0.0,0.0,0.0,0.0,0.0,8,8
88,0.0,0.0,0.0,0.0,0.0,0.0,8,8
89,0.0,0.0,0.0,0.0,6.661338147750939e-16,6.661338147750939e-16,8,8
90,0.0,0.0,0.0,0.0,4.440892098500626e-16,4.440892098500626e-16,8,8
91,0.0,0.0,0.0,0.0,0.0,0.0,8,8
92,0.0,0.0,0.0,0.0,1.5543122344752192e-15,1.5543122344752192e-15,8,8
93,0.0,0.0,0.0,0.0,3.3306690738754696e-16,3.3306690738754696e-16,8,8
94,0.0,0.0,0.0,0.0,0.0,0.0,8,8
95,0.0,0.0,0.0,0.0,0.0,0.0,8,8
96,0.0,0.0,0.0,0.0,2.220446049250313e-16,2.220446049250313e-16,8,8
97,0.0,0.0,0.0,0.0,0.0,0.0,8,8
98,0.0,0.0,0.0,0.0,0.0,0.0,8,8
99,0.0,0.0,0.0,0.0,1.3322676295501878e-15,1.3322676295501878e-15,8,8
100,0.0,0.0,0.0,0.0,8.881784197001252e-16,8.881784197001252e-16,8,8
101,0.0,0.0,0.0,0.0,5.551115123125783e-16,5.551115123125783e-16,8,8
102,0.0,0.0,0.0,0.0,3.3306690738754696e-16,3.3306690738754696e-16,8,8
103,0.0,0.0,0.0,0.0,3.3306690738754696e-16,3.3306690738754696e-16,8,8
104,0.0,0.0,0.0,0.0,0.0,0.0,8,8
105,0.0,0.0,0.0,0.0,1.2212453270876722e-15,1.2212453270876722e-15,8,8
106,0.0,0.0,0.0,0.0,0.0,0.0,8,8
107,0.0,0.0,0.0,0.0,3.219646771412954e-15,3.219646771412954e-15,8,8
108,0.0,0.0,0.0,0.0,1.1102230246251565e-16,1.1102230246251565e-16,8,8
109,0.0,0.0,0.0,0.0,5.218048215738236e-15,5.218048215738236e-15,8,8
110,0.0,0.0,0.0,0.0,2.220446049250313e-16,2.220446049250313e-16,8,8
111,0.0,0.0,0.0,0.0,0.0,0.0,8,8
112,0.0,0.0,0.0,0.0,0.0,0.0,8,8
113,0.0,0.0,0.0,0.0,1.1102230246251565e-15,1.1102230246251565e-15,8,8
114,0.0,0.0,0.0,0.0,0.0,0.0,8,8
115,0.0,0.0,0.0,0.0,0.0,0.0,8,8
116,0.0,0.0,0.0,0.0,2.220446049250313e-16,2.220446049250313e-16,8,8
117,0.0,0.0,0.0,0.0,1.1102230246251565e-15,1.1102230246251565e-15,8,8
118,0.0,0.0,0.0,0.0,4.440892098500626e-16,4.440892098500626e-16,8,8
119,0.0,0.0,0.0,0.0,0.0,0.0,8,8
