claim_group_id,task_id,subject,group_kind,label,claim_count,agent_count,ess,q_bar,independence,core_trust,consensus_score,raw_score,challenge_approve,high_risk_action,high_risk_constraint_pass,decision,agent_weights,conflicts_with
G_T_0005_risk_benign,T_0005,10.15.35.75,risk,benign,12,12,0.817572,0.7467,0.63575,94.0,0.525322,0.378232,0,False,True,challenged,"[{""agent_id"": ""A_POISON_001"", ""base"": 0.77, ""bss"": 0.119237, ""weight"": 0.2632}, {""agent_id"": ""A_POISON_007"", ""base"": 0.8, ""bss"": 0.100091, ""weight"": 0.2794}, {""agent_id"": ""A_BYZ_001"", ""base"": 0.76, ""bss"": 0.0, ""weight"": 0.295}, {""agent_id"": ""A_WATCH_006"", ""base"": 0.7968, ""bss"": 0.0, ""weight"": 0.3092}, {""agent_id"": ""A_COL_006"", ""base"": 0.7644, ""bss"": 0.014259, ""weight"": 0.2924}, {""agent_id"": ""A_COL_007"", ""base"": 0.84, ""bss"": 0.012222, ""weight"": 0.322}, {""agent_id"": ""A_COL_008"", ""base"": 0.8858, ""bss"": 0.013, ""weight"": 0.3393}, {""agent_id"": ""A_COL_009"", ""base"": 0.9, ""bss"": 0.015714, ""weight"": 0.3438}, {""agent_id"": ""A_COL_010"", ""base"": 0.7872, ""bss"": 0.0, ""weight"": 0.3055}, {""agent_id"": ""A_COL_011"", ""base"": 0.9373, ""bss"": 0.01198, ""weight"": 0.3594}, {""agent_id"": ""A_COL_012"", ""base"": 0.9, ""bss"": 0.014667, ""weight"": 0.3442}, {""agent_id"": ""A_COL_013"", ""base"": 0.86, ""bss"": 0.013364, ""weight"": 0.3293}]","[""G_T_0005_risk_malicious""]"
G_T_0006_action_benign,T_0006,10.18.42.88,action,benign,1,1,0.886919,0.88325,0.9025,93.0,0.981934,0.706992,1,False,True,accepted,"[{""agent_id"": ""A_N_009"", ""base"": 0.8544, ""bss"": 0.0, ""weight"": 0.6041}]","[""G_T_0006_action_malicious""]"
G_T_0006_action_malicious,T_0006,10.18.42.88,action,malicious,2,2,0.857948,0.917,0.8105,96.0,0.885626,0.637651,0,True,False,rejected,"[{""agent_id"": ""A_BYZ_008"", ""base"": 0.768, ""bss"": 0.0, ""weight"": 0.4897}, {""agent_id"": ""A_STRAT_001"", ""base"": 0.8352, ""bss"": 0.0, ""weight"": 0.5326}]","[""G_T_0006_action_benign""]"
G_T_0006_risk_benign,T_0006,10.18.42.88,risk,benign,4,4,0.83844,0.797633,0.783333,93.0,0.706385,0.508597,1,False,True,challenged,"[{""agent_id"": ""A_N_007"", ""base"": 0.89, ""bss"": 0.0, ""weight"": 0.4662}, {""agent_id"": ""A_COMM_003"", ""base"": 0.8464, ""bss"": 0.110267, ""weight"": 0.3945}, {""agent_id"": ""A_WATCH_001"", ""base"": 0.63, ""bss"": 0.0, ""weight"": 0.33}, {""agent_id"": ""A_STRAT_001"", ""base"": 0.8352, ""bss"": 0.0, ""weight"": 0.4375}]","[""G_T_0006_risk_malicious""]"
G_T_0006_risk_malicious,T_0006,10.18.42.88,risk,malicious,12,12,0.832108,0.78158,0.661,96.0,0.582603,0.419474,0,False,True,challenged,"[{""agent_id"": ""A_N_008"", ""base"": 0.9373, ""bss"": 0.0, ""weight"": 0.4029}, {""agent_id"": ""A_POISON_002"", ""base"": 0.76, ""bss"": 0.116854, ""weight"": 0.2885}, {""agent_id"": ""A_POISON_008"", ""base"": 0.82, ""bss"": 0.095836, ""weight"": 0.3187}, {""agent_id"": ""A_BYZ_003"", ""base"": 0.83, ""bss"": 0.0, ""weight"": 0.3568}, {""agent_id"": ""A_COL_007"", ""base"": 0.84, ""bss"": 0.012222, ""weight"": 0.3567}, {""agent_id"": ""A_COL_008"", ""base"": 0.8858, ""bss"": 0.013, ""weight"": 0.3758}, {""agent_id"": ""A_COL_009"", ""base"": 0.9, ""bss"": 0.015714, ""weight"": 0.3808}, {""agent_id"": ""A_COL_010"", ""base"": 0.7872, ""bss"": 0.0, ""weight"": 0.3384}, {""agent_id"": ""A_COL_011"", ""base"": 0.9373, ""bss"": 0.01198, ""weight"": 0.3981}, {""agent_id"": ""A_COL_012"", ""base"": 0.9, ""bss"": 0.014667, ""weight"": 0.3812}, {""agent_id"": ""A_COL_013"", ""base"": 0.86, ""bss"": 0.013364, ""weight"": 0.3648}, {""agent_id"": ""A_COL_014"", ""base"": 0.9, ""bss"": 0.012941, ""weight"": 0.3819}]","[""G_T_0006_risk_benign""]"
G_T_0007_action_malicious,T_0007,10.21.49.101,action,malicious,1,1,0.904181,0.8894,0.851,90.0,0.950494,0.684356,1,True,True,accepted,"[{""agent_id"": ""A_N_015"", ""base"": 0.9216, ""bss"": 0.0, ""weight"": 0.6307}]","[""G_T_0007_action_benign""]"
G_T_0007_action_benign,T_0007,10.21.49.101,action,benign,2,2,0.867824,0.8765,0.8305,95.0,0.877386,0.631718,0,False,True,challenged,"[{""agent_id"": ""A_BYZ_010"", ""base"": 0.816, ""bss"": 0.0, ""weight"": 0.5155}, {""agent_id"": ""A_COL_010"", ""base"": 0.7872, ""bss"": 0.0, ""weight"": 0.4973}]","[""G_T_0007_action_malicious""]"
G_T_0007_risk_malicious,T_0007,10.21.49.101,risk,malicious,2,2,0.89,0.8779,0.885,85.0,0.910683,0.655692,1,False,True,accepted,"[{""agent_id"": ""A_N_013"", ""base"": 0.88, ""bss"": 0.0, ""weight"": 0.6085}, {""agent_id"": ""A_COMM_004"", ""base"": 0.85, ""bss"": 0.105333, ""weight"": 0.5258}]","[""G_T_0007_risk_benign""]"
G_T_0007_risk_benign,T_0007,10.21.49.101,risk,benign,13,13,0.828113,0.74682,0.6748,95.0,0.566855,0.408135,0,False,True,challenged,"[{""agent_id"": ""A_N_014"", ""base"": 0.9373, ""bss"": 0.0, ""weight"": 0.3912}, {""agent_id"": ""A_POISON_004"", ""base"": 0.78, ""bss"": 0.089701, ""weight"": 0.2963}, {""agent_id"": ""A_POISON_001"", ""base"": 0.77, ""bss"": 0.119237, ""weight"": 0.283}, {""agent_id"": ""A_BYZ_007"", ""base"": 0.84, ""bss"": 0.0, ""weight"": 0.3506}, {""agent_id"": ""A_WATCH_002"", ""base"": 0.7968, ""bss"": 0.0, ""weight"": 0.3325}, {""agent_id"": ""A_COL_008"", ""base"": 0.8858, ""bss"": 0.013, ""weight"": 0.3649}, {""agent_id"": ""A_COL_009"", ""base"": 0.9, ""bss"": 0.015714, ""weight"": 0.3697}, {""agent_id"": ""A_COL_010"", ""base"": 0.7872, ""bss"": 0.0, ""weight"": 0.3285}, {""agent_id"": ""A_COL_011"", ""base"": 0.9373, ""bss"": 0.01198, ""weight"": 0.3865}, {""agent_id"": ""A_COL_012"", ""base"": 0.9, ""bss"": 0.014667, ""weight"": 0.3701}, {""agent_id"": ""A_COL_013"", ""base"": 0.86, ""bss"": 0.013364, ""weight"": 0.3541}, {""agent_id"": ""A_COL_014"", ""base"": 0.9, ""bss"": 0.012941, ""weight"": 0.3707}, {""agent_id"": ""A_COL_015"", ""base"": 0.9579, ""bss"": 0.013491, ""weight"": 0.3944}]","[""G_T_0007_risk_malicious""]"
G_T_0008_action_benign,T_0008,10.24.56.114,action,benign,1,1,0.866715,0.922,0.908,96.0,1.0,0.725593,1,False,True,accepted,"[{""agent_id"": ""A_N_021"", ""base"": 0.912, ""bss"": 0.0, ""weight"": 0.6617}]","[""G_T_0008_action_malicious""]"
G_T_0008_action_malicious,T_0008,10.24.56.114,action,malicious,1,1,0.8855,0.9257,0.842,95.0,0.958602,0.690194,0,True,False,rejected,"[{""agent_id"": ""A_BYZ_012"", ""base"": 0.7296, ""bss"": 0.0, ""weight"": 0.5036}]","[""G_T_0008_action_benign""]"
G_T_0008_risk_benign,T_0008,10.24.56.114,risk,benign,4,4,0.844006,0.8012,0.786,96.0,0.718016,0.516972,1,False,True,challenged,"[{""agent_id"": ""A_N_019"", ""base"": 0.95, ""bss"": 0.0, ""weight"": 0.5049}, {""agent_id"": ""A_N_020"", ""base"": 0.9888, ""bss"": 0.0, ""weight"": 0.5256}, {""agent_id"": ""A_COMM_001"", ""base"": 0.8188, ""bss"": 0.114267, ""weight"": 0.3855}, {""agent_id"": ""A_WATCH_003"", ""base"": 0.6636, ""bss"": 0.0, ""weight"": 0.3527}]","[""G_T_0008_risk_malicious""]"
G_T_0008_risk_malicious,T_0008,10.24.56.114,risk,malicious,3,3,0.813161,0.737825,0.64375,95.0,0.496698,0.357622,0,False,True,rejected,"[{""agent_id"": ""A_POISON_007"", ""base"": 0.8, ""bss"": 0.100091, ""weight"": 0.2781}, {""agent_id"": ""A_POISON_002"", ""base"": 0.76, ""bss"": 0.116854, ""weight"": 0.2592}, {""agent_id"": ""A_BYZ_009"", ""base"": 0.72, ""bss"": 0.0, ""weight"": 0.2781}]","[""G_T_0008_risk_benign""]"
G_T_0009_action_benign,T_0009,10.27.63.127,action,benign,1,1,0.90352,0.88825,0.85,96.0,0.947457,0.682169,1,False,True,accepted,"[{""agent_id"": ""A_N_027"", ""base"": 0.8832, ""bss"": 0.0, ""weight"": 0.6025}]","[""G_T_0009_action_malicious""]"
G_T_0009_action_malicious,T_0009,10.27.63.127,action,malicious,2,2,0.838552,0.93715,0.8215,98.0,0.896632,0.645575,0,True,False,rejected,"[{""agent_id"": ""A_BYZ_002"", ""base"": 0.7968, ""bss"": 0.0, ""weight"": 0.5144}, {""agent_id"": ""A_STRAT_007"", ""base"": 0.8928, ""bss"": 0.0, ""weight"": 0.5764}]","[""G_T_0009_action_benign""]"
G_T_0009_risk_benign,T_0009,10.27.63.127,risk,benign,4,4,0.90388,0.88825,0.85,96.0,0.919562,0.662085,1,False,True,accepted,"[{""agent_id"": ""A_N_025"", ""base"": 0.89, ""bss"": 0.0, ""weight"": 0.6074}, {""agent_id"": ""A_N_026"", ""base"": 0.927, ""bss"": 0.0, ""weight"": 0.6326}, {""agent_id"": ""A_COMM_002"", ""base"": 0.82, ""bss"": 0.1284, ""weight"": 0.4877}, {""agent_id"": ""A_STRAT_007"", ""base"": 0.8928, ""bss"": 0.0, ""weight"": 0.6093}]","[""G_T_0009_risk_malicious""]"
G_T_0009_risk_malicious,T_0009,10.27.63.127,risk,malicious,12,12,0.797229,0.733825,0.6755,98.0,0.535961,0.385892,0,False,True,challenged,"[{""agent_id"": ""A_POISON_008"", ""base"": 0.82, ""bss"": 0.095836, ""weight"": 0.293}, {""agent_id"": ""A_POISON_003"", ""base"": 0.8755, ""bss"": 0.10125, ""weight"": 0.311}, {""agent_id"": ""A_BYZ_011"", ""base"": 0.74, ""bss"": 0.0, ""weight"": 0.2924}, {""agent_id"": ""A_WATCH_004"", ""base"": 0.768, ""bss"": 0.0, ""weight"": 0.3035}, {""agent_id"": ""A_COL_010"", ""base"": 0.7872, ""bss"": 0.0, ""weight"": 0.3111}, {""agent_id"": ""A_COL_011"", ""base"": 0.9373, ""bss"": 0.01198, ""weight"": 0.366}, {""agent_id"": ""A_COL_012"", ""base"": 0.9, ""bss"": 0.014667, ""weight"": 0.3505}, {""agent_id"": ""A_COL_013"", ""base"": 0.86, ""bss"": 0.013364, ""weight"": 0.3353}, {""agent_id"": ""A_COL_014"", ""base"": 0.9, ""bss"": 0.012941, ""weight"": 0.3511}, {""agent_id"": ""A_COL_015"", ""base"": 0.9579, ""bss"": 0.013491, ""weight"": 0.3734}, {""agent_id"": ""A_COL_016"", ""base"": 0.83, ""bss"": 0.014951, ""weight"": 0.3231}, {""agent_id"": ""A_COL_017"", ""base"": 0.8352, ""bss"": 0.0, ""weight"": 0.3301}]","[""G_T_0009_risk_benign""]"
G_T_0010_action_malicious,T_0010,10.30.70.140,action,malicious,1,1,0.921596,0.88975,0.8465,87.0,0.964058,0.694121,1,True,True,accepted,"[{""agent_id"": ""A_N_003"", ""base"": 0.8352, ""bss"": 0.0, ""weight"": 0.5797}]","[""G_T_0010_action_benign""]"
G_T_0010_action_benign,T_0010,10.30.70.140,action,benign,1,1,0.863737,0.8934,0.8075,96.0,0.865441,0.623117,0,False,True,challenged,"[{""agent_id"": ""A_BYZ_004"", ""base"": 0.7968, ""bss"": 0.0, ""weight"": 0.4965}]","[""G_T_0010_action_malicious""]"
G_T_0010_risk_malicious,T_0010,10.30.70.140,risk,malicious,4,4,0.882853,0.804033,0.768667,87.0,0.736148,0.530027,1,False,True,challenged,"[{""agent_id"": ""A_N_001"", ""base"": 0.87, ""bss"": 0.0, ""weight"": 0.4747}, {""agent_id"": ""A_N_002"", ""base"": 0.9167, ""bss"": 0.0, ""weight"": 0.5002}, {""agent_id"": ""A_COMM_003"", ""base"": 0.8464, ""bss"": 0.110267, ""weight"": 0.4109}, {""agent_id"": ""A_WATCH_005"", ""base"": 0.63, ""bss"": 0.0, ""weight"": 0.3437}]","[""G_T_0010_risk_benign""]"
G_T_0010_risk_benign,T_0010,10.30.70.140,risk,benign,3,3,0.698107,0.735025,0.656,96.0,0.434773,0.313036,0,False,True,rejected,"[{""agent_id"": ""A_POISON_001"", ""base"": 0.77, ""bss"": 0.119237, ""weight"": 0.2283}, {""agent_id"": ""A_POISON_004"", ""base"": 0.78, ""bss"": 0.089701, ""weight"": 0.239}, {""agent_id"": ""A_BYZ_001"", ""base"": 0.76, ""bss"": 0.0, ""weight"": 0.2558}]","[""G_T_0010_risk_malicious""]"
G_T_0011_action_benign,T_0011,10.33.77.153,action,benign,1,1,0.87098,0.8876,0.8595,95.0,0.922866,0.664464,1,False,True,accepted,"[{""agent_id"": ""A_N_009"", ""base"": 0.8544, ""bss"": 0.0, ""weight"": 0.5677}]","[""G_T_0011_action_malicious""]"
G_T_0011_action_malicious,T_0011,10.33.77.153,action,malicious,2,2,0.888395,0.8957,0.829,98.0,0.916201,0.659665,0,True,False,rejected,"[{""agent_id"": ""A_BYZ_008"", ""base"": 0.768, ""bss"": 0.0, ""weight"": 0.5066}, {""agent_id"": ""A_COL_017"", ""base"": 0.8352, ""bss"": 0.0, ""weight"": 0.551}]","[""G_T_0011_action_benign""]"
G_T_0011_risk_benign,T_0011,10.33.77.153,risk,benign,2,2,0.8705,0.8876,0.8595,95.0,0.922358,0.664098,1,False,True,accepted,"[{""agent_id"": ""A_N_007"", ""base"": 0.89, ""bss"": 0.0, ""weight"": 0.591}, {""agent_id"": ""A_N_008"", ""base"": 0.9373, ""bss"": 0.0, ""weight"": 0.6225}]","[""G_T_0011_risk_malicious""]"
